code,reg_name
2661,Санкт-Петербург
3446,Ленинградская область
3,Москва
81,Московская область
2843,Краснодарский край
2871,Нижегородская область
3230,Ростовская область
3106,Самарская область
2922,Республика Татарстан
2900,Ставропольский край
2722,Республика Башкортостан
6171,Свердловская область
4417,Республика Коми
5282,Челябинская область
5368,Иркутская область
5520,Пермский край
6817,Алтайский край
9579,Республика Бурятия
2604,Ярославская область
1010,Удмуртская Республика
7793,Псковская область
13919,Республика Северная Осетия — Алания
2860,Кемеровская область
3019,Чувашская Республика
4982,Республика Марий Эл
9648,Кабардино-Балкарская Республика
5241,Республика Мордовия
3870,Красноярский край
3991,Тюменская область
2359,Республика Хакасия
9654,Новосибирская область
2072,Воронежская область
8090,Республика Карелия
4007,Республика Дагестан
11171,Республика Саха (Якутия)
10160,Забайкальский край
"7873, 6937",Республика Крым
2594,Кировская область
8509,Республика Калмыкия
11416,Республика Адыгея
11991,Карачаево-Черкесская Республика
5178,Республика Тыва
13913,Республика Ингушетия
6309,Республика Алтай
5952,Белгородская область
6543,Архангельская область
2880,Тверская область
5993,Пензенская область
2484,Ханты-Мансийский автономный округ
4240,Липецкая область
5789,Владимирская область
14880,Ямало-Ненецкий автономный округ
1491,Рязанская область
2885,Чеченская Республика
5794,Смоленская область
2528,Саратовская область
4374,Вологодская область
4695,Волгоградская область
2328,Калужская область
5143,Тульская область
2806,Тамбовская область
14368,Мурманская область
5736,Новгородская область
7121,Курская область
4086,Хабаровский край
821,Брянская область
10582,Астраханская область
7896,Калининградская область
8640,Омская область
5703,Курганская область
10201,Томская область
4249,Ульяновская область
3153,Оренбургская область
4189,Костромская область
2814,Орловская область
13098,Камчатский край
8894,Ивановская область
7929,Амурская область
16705,Магаданская область
69,Еврейская автономная область
4963,Приморский край
1901,Сахалинская область
61888,Ненецкий автономный округ
